timestamp,open,high,low,close,volume,sma_20,sma_50,sma_200,sma_800,ema_12,ema_26,ema_50,macd,macd_signal,macd_hist,adx,di_plus,di_minus,rsi,stoch_rsi_k,stoch_rsi_d,bb_middle,bb_upper,bb_lower,bb_width,bb_pct,true_range,atr,atr_pct,atr_percentile,volume_ma,volume_ratio,obv,vwap,pivot_p,pivot_r1,pivot_r2,pivot_s1,pivot_s2,sr_support_price,sr_resist_price,sr_support_dist_pct,sr_resist_dist_pct,sr_at_support,sr_at_resistance,atr_prev,macd_hist_prev,high_20,low_20,bb_width_percentile,bullish_candle_count,bearish_candle_count
2017-08-17 04:00:00,4261.48,4349.99,4261.32,4349.99,82.088865,,,,,4349.99,4349.99,4349.99,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,88.67000000000007,,,,,,0,4320.43,,,,,,3426.0,120247.8,21.2412,2664.3236,False,False,,,,,,1,0
2017-08-17 08:00:00,4333.32,4485.39,4333.32,4427.3,63.619882,,,,,4361.883846153845,4355.716666666666,4353.021764705883,6.167179487179055,1.233435897435811,4.933743589743244,7.142857142857142,10.377228345008383,0.0,,,,,,,,,152.07000000000062,,,,,,63,4361.87,,,,,,3426.0,120247.8,22.6165,2616.0527,False,False,,0.0,,,,2,0
2017-08-17 12:00:00,4436.06,4485.39,4333.42,4352.34,174.562001,,,,,4360.415562130177,4355.466543209876,4352.995028835064,4.949018920300659,1.9765525020087809,2.9724664182918783,13.775510204081632,9.220669554084633,0.0,,,,,,,,,151.97000000000025,,,,,,-110,4377.41,,,,,,3426.0,120247.8,21.2837,2662.831,False,False,,4.933743589743244,,,,0,1
2017-08-17 16:00:00,4352.33,4354.84,4200.74,4325.23,225.109716,,,,,4355.0023987255345,4353.226799268404,4351.906204174865,1.7755994571307383,1.9363618930331725,-0.16076243590243422,13.24779031903048,8.220211692382346,9.341985033155167,,,,,,,,,154.10000000000036,,,,,,-336,4342.82,,,,,,3426.0,120247.8,20.7903,2680.1481,False,False,,2.9724664182918783,,,,0,2
2017-08-17 20:00:00,4307.56,4369.69,4258.56,4285.08,249.769913,,,,,4344.245106613914,4348.178888211485,4349.285568717027,-3.9337815975713966,0.7623331949122588,-4.696114792483655,12.303141453906004,8.619870857222242,8.615957254363453,,,,,,,,,111.1299999999992,,,,,,-585,4330.76,,,,,,3426.0,120247.8,20.0482,2706.1973,False,False,,-0.16076243590243422,,,,0,3
2017-08-18 00:00:00,4285.08,4340.62,4134.61,4292.39,276.193043,,,,,4336.267397904081,4344.046377973597,4347.05436994381,-7.778980069516365,-0.9459294579734661,-6.833050611542899,13.93275756089632,7.462113401623212,15.53991057642428,,,,,,,,,206.01000000000022,,,,,,-309,4255.87,4323.74,4446.73,4608.39,4162.08,4039.09,3426.0,120247.8,20.1843,2701.4183,False,False,,-4.696114792483655,,,,1,0
2017-08-18 04:00:00,4292.39,4340.62,4234.43,4300.25,248.389029,,,,,4330.7262597649915,4340.802201827405,4345.218904455818,-10.07594206241356,-2.771931978861485,-7.304010083552075,15.445972517387325,6.944353237673215,14.46167091230077,,,,,,,,,106.1899999999996,,,,,,-61,4272.87,4323.74,4446.73,4608.39,4162.08,4039.09,3426.0,120247.8,20.3302,2696.2979,False,False,,-6.833050611542899,,,,2,0
2017-08-18 08:00:00,4285.0,4371.52,4259.85,4340.31,196.140129,,,,,4332.200681339608,4340.765742432783,4345.026398398728,-8.565061093174336,-3.9305578017240554,-4.63450329145028,15.961161464516243,8.454356022490133,13.408082375971691,,,,,,,,,111.67000000000007,,,,,,134,4286.75,4323.74,4446.73,4608.39,4162.08,4039.09,3426.0,120247.8,21.0655,2670.4887,False,False,,-7.304010083552075,,,,3,0
2017-08-18 12:00:00,4320.52,4340.31,4193.7,4236.89,175.969384,,,,,4317.537499595053,4333.071242993317,4340.785755324268,-15.53374339826405,-6.251194921032054,-9.282548477231996,17.408060496038285,7.664829338711704,16.369534726685377,,,,,,,,,146.61000000000058,,,,,,-41,4280.91,4323.74,4446.73,4608.39,4162.08,4039.09,3426.0,120247.8,19.1388,2738.1147,False,False,,-4.63450329145028,,,,0,1
2017-08-18 16:00:00,4234.54,4297.75,4015.7,4136.28,193.64697,,,,,4289.6517304265835,4318.494113882702,4332.76592178214,-28.842383456118114,-10.769432628049266,-18.072950828068848,20.28642008256096,6.422258263246067,23.94668673762141,,,,,,,,,282.0500000000002,,,,,,-234,4257.64,4323.74,4446.73,4608.39,4162.08,4039.09,3426.0,120247.8,17.172,2807.1485,False,False,,-9.282548477231996,,,,0,2
2017-08-18 20:00:00,4135.0,4136.48,3938.77,4108.37,109.549709,,,,,4261.762233437878,4302.929364706205,4323.966081712253,-41.16713126832656,-16.848972356104724,-24.318158912221833,23.36867459611085,5.722006354101861,25.578271180974188,,,,,,,,,197.70999999999958,,,,,,-344,4239.71,4323.74,4446.73,4608.39,4162.08,4039.09,3426.0,120247.8,16.6093,2826.898,False,False,,-18.072950828068848,,,,0,3
2017-08-19 00:00:00,4108.37,4184.69,4084.28,4138.55,108.510448,,,,,4242.806505216667,4290.7531154687085,4316.694862821577,-47.946610252041864,-23.068499935292152,-24.878110316749712,25.2523557167465,8.10209284161293,24.138761676711766,,,,,,,,,100.4099999999994,,,,,,-235,4135.84,4139.55,4340.34,4572.3,3907.59,3706.8,3426.0,120247.8,17.2174,2805.5539,False,False,,-24.318158912221833,,,,1,0
2017-08-19 04:00:00,4138.5,4156.0,3933.21,4033.47,112.752079,,,,,4210.600889029487,4271.695106915471,4305.588005456025,-61.09421788598411,-30.673643525430546,-30.420574360553562,27.79298081517213,7.141701076884961,29.315179387543978,,,,,,,,,222.78999999999996,,,,,,-348,4087.46,4139.55,4340.34,4572.3,3907.59,3706.8,3426.0,120247.8,15.0607,2881.2494,False,False,,-24.878110316749712,,,,0,1
2017-08-19 08:00:00,4033.47,4082.25,3850.0,3957.6,77.256042,,,,,4171.677675332643,4248.42880269951,4291.9414170067685,-76.75112736686697,-39.88914029371783,-36.86198707314914,30.475788061812967,6.302938587333054,30.080055733461386,,,,,,,,,232.25,170.11,4.298312108348495,,,,-425,4055.32,4139.55,4340.34,4572.3,3907.59,3706.8,3426.0,120247.8,13.4324,2938.4021,False,False,,-30.420574360553562,,,,0,2
2017-08-19 12:00:00,3945.12,4100.0,3928.89,3972.05,47.515578,,,,,4140.965725281467,4227.9562987958425,4279.396655555523,-86.99057351437568,-49.3094269378494,-37.68114657652628,32.661290842415625,6.649912419947618,27.516002573581773,20.86,,,,,,,,171.11000000000013,170.21,4.285192784582269,,,,-378,4047.77,4139.55,4340.34,4572.3,3907.59,3706.8,3426.0,120247.8,13.7473,2927.3486,False,False,170.11,-36.86198707314914,,,,1,0
2017-08-19 16:00:00,4036.19,4103.92,3953.4,4076.12,25.925056,,,,,4130.989459853548,4216.709165551706,4271.425022004326,-85.71970569815767,-56.59148268991106,-29.128223008246607,34.620301314966014,6.347632237473213,25.460058540651296,35.86,,,,,,,,150.51999999999998,168.19,4.1262278833792925,,,,-352,4047.54,4139.55,4340.34,4572.3,3907.59,3706.8,3426.0,120247.8,15.9495,2850.0554,False,False,170.21,-37.68114657652628,,,,2,0
2017-08-19 20:00:00,4088.71,4149.99,4051.47,4139.98,9.35056,,,,,4132.37261987608,4211.025523658987,4266.270315259058,-78.65290378290774,-61.0037669085104,-17.649136874397342,35.61762599906429,8.369656388329794,24.186235497808884,42.99,,,,,,,,98.51999999999998,161.24,3.8947048053372244,,,,-342,4049.16,4139.55,4340.34,4572.3,3907.59,3706.8,3426.0,120247.8,17.246,2804.5503,False,False,168.19,-29.128223008246607,,,,3,0
2017-08-20 00:00:00,4120.98,4139.98,4044.0,4094.62,6.611283,,,,,4126.564524510529,4202.40289227684,4259.538930346939,-75.83836776631142,-63.970687080070604,-11.867680686240817,36.58922930438313,7.952230218287824,23.36813818051272,39.62,,,,,,,,95.97999999999956,154.91,3.7832570543786725,,,,-349,4092.87,4058.22,4266.45,4392.91,3931.76,3723.53,3426.0,120247.8,16.3292,2836.7267,False,False,161.24,-17.649136874397342,,,,0,1
2017-08-20 04:00:00,4094.62,4156.56,4081.19,4155.87,28.60391,,,,,4131.073059201217,4198.956011367445,4255.473482098039,-67.88295216622828,-64.75314009730215,-3.129812068926128,37.18477423927646,8.52066810084752,22.42242994005829,45.8,,,,,,,,75.37000000000035,147.39,3.5465498198933076,,,,-320,4124.01,4058.22,4266.45,4392.91,3931.76,3723.53,3426.0,120247.8,17.5624,2793.4447,False,False,154.91,-11.867680686240817,,,,1,0
2017-08-20 08:00:00,4155.87,4211.08,4032.62,4106.53,36.019943,4191.461,,,,4127.297203939492,4192.109640155042,4249.6325612314495,-64.8124362155504,-64.7649993209518,-0.04743689459860434,36.78059552635869,10.581365460065438,20.32498595109398,42.07,,,4191.461,4464.412769628187,3918.509230371814,0.1302,0.3444,178.46000000000004,150.26,3.659050341772738,,122.38,0.29,-356,4120.33,4058.22,4266.45,4392.91,3931.76,3723.53,3426.0,120247.8,16.5719,2828.2095,False,False,147.39,-3.129812068926128,4485.39,3850.0,,0,1
